operating_point_id,split,case_id,family_id,oracle_class,oracle_lag_frames,classification,reason,reported_lag_frames,signed_primary_correlation,primary_abs_correlation,primary_plateau_width_frames,peak_ratio_value,peak_ratio_kind,false_valid,wrong_lag_valid,false_ambiguous,false_invalid,correct_outcome
OP-A-permissive,calibration,calibration-uniform-noise-v1-00,uniform-noise-v1,unique,-64,valid,accepted,-64,1.0,1.0,1,9.042047795969895,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-01,uniform-noise-v1,unique,-37,valid,accepted,-37,1.0,1.0,1,11.235358994475346,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-02,uniform-noise-v1,unique,0,valid,accepted,0,1.0,1.0,1,10.219759603566509,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-03,uniform-noise-v1,unique,29,valid,accepted,29,1.0,1.0,1,9.509335983534989,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-04,uniform-noise-v1,unique,64,valid,accepted,64,1.0,1.0,1,11.758307413448733,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-05,uniform-noise-v1,unique,29,valid,accepted,29,-0.999970505001223,0.999970505001223,1,12.17132953636892,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-06,uniform-noise-v1,unique,-37,valid,accepted,-37,0.9999999999999996,0.9999999999999996,1,9.563437756701472,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-07,uniform-noise-v1,unique,29,valid,accepted,29,0.9998791509714504,0.9998791509714504,1,9.488687815460649,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-08,uniform-noise-v1,unique,29,valid,accepted,29,0.9924645737512189,0.9924645737512189,1,9.44980573485,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-09,uniform-noise-v1,unique,29,valid,accepted,29,0.9140085287401842,0.9140085287401842,1,9.066019113383321,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-uniform-noise-v1-10,uniform-noise-v1,unique,29,invalid,primary_below_minimum,7,-0.34778878919758793,0.34778878919758793,1,1.131523711888985,finite,False,False,False,True,False
OP-A-permissive,calibration,calibration-lfsr-prbs15-v1-11,lfsr-prbs15-v1,unique,-64,valid,accepted,-64,-1.0,1.0,1,7.125778528097056,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-lfsr-prbs15-v1-12,lfsr-prbs15-v1,unique,0,valid,accepted,0,1.0,1.0,1,12.38888888888889,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-lfsr-prbs15-v1-13,lfsr-prbs15-v1,unique,64,valid,accepted,64,-1.0,1.0,1,14.127642329057519,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-lfsr-prbs15-v1-14,lfsr-prbs15-v1,unique,-37,valid,accepted,-37,1.0,1.0,1,11.991384505360163,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-integer-periodic-v1-15,integer-periodic-v1,ambiguous,,ambiguous,equivalent_primary_peaks,0,1.0,1.0,1,1.0,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-integer-periodic-v1-16,integer-periodic-v1,ambiguous,,ambiguous,equivalent_primary_peaks,0,1.0,1.0,1,1.0,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-integer-periodic-v1-17,integer-periodic-v1,ambiguous,,ambiguous,equivalent_primary_peaks,0,1.0,1.0,1,1.0,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-multi-transient-v1-18,multi-transient-v1,unique,-64,valid,accepted,-64,1.0,1.0,1,1.6473737813129585,finite,False,False,False,False,True
OP-A-permissive,calibration,calibration-multi-transient-v1-19,multi-transient-v1,unique,-37,valid,accepted,-37,1.0,1.0,1,380.4246830796164,finite,False,False,False,False,True
